configuration_id,variant_id,parameter_id,cad_variable,value,unit,evidence_class,status,adjustable,source_id,source_locator,derivation,solver_use,geometry_only,product_fact,notes
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P002,MEMBRANE_EFFECTIVE_THICKNESS_R0,0.275,mm,P,patent_range,true,P002,US12137540B2 local PDF p.21 printed col.7 lines53-59,midpoint of embodiment,GEOMETRY_ONLY_UNTIL_SIZE_SPECIFIC_P2_BRANCH,true,false,0.2-0.35 mm for an 8 mm element
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P004,MEMBRANE_TIP_AMPLITUDE_CANDIDATE,30,um,P,patent_range,true,P004,US12137540B2 local PDF p.20 printed col.6 lines34-41,interior exploratory value,CLEARANCE_CHECK_ONLY,false,false,10-60 um preferred range
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P005,TOP_CHAMBER_HEIGHT_CANDIDATE,0.25,mm,P,patent_range,true,P005,US12137540B2 local PDF p.20 printed col.6 lines21-26,midpoint of preferred embodiment,P1_GEOMETRY_FLUID,false,false,0.05-0.5 mm broad; 0.2-0.3 mm preferred
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P006,BOTTOM_CLEARANCE_MARGIN_CANDIDATE,0.01,mm,P,patent_range,true,P006,US12137540B2 local PDF p.20 printed col.6 lines34-36,A_tip plus clearance relationship,CLEARANCE_CHECK_ONLY,false,false,5-10 um above maximum displacement
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P007,ORIFICE_EQUIVALENT_DIAMETER_CANDIDATE,0.25,mm,P,patent_range,true,P007,US12137540B2 local PDF p.22 printed col.9 lines26-32,midpoint of preferred embodiment,P1_GEOMETRY_FLUID,false,false,0.1-0.5 mm broad; 0.2-0.3 mm preferred
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P008,ORIFICE_SEPARATION_S_UNRESOLVED,0.50,mm,P,patent_range,true,P008,US12137540B2 local PDF p.22 printed col.9 lines32-36 and applicable figure definition,midpoint of preferred embodiment,INTERPRETATION_BRANCH_ONLY,false,false,0.1-1.0 mm broad; 0.4-0.6 mm preferred; center-versus-edge definition unresolved
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P009,ORIFICE_OPEN_AREA_TARGET_CANDIDATE,10,percent,P,patent_range,true,P009,US12137540B2 local PDF p.22 printed col.9 lines36-44,midpoint of preferred embodiment,P1_GEOMETRY_FLUID,false,false,5-15 percent broad; 8-12 percent preferred
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P010,IMPINGEMENT_GAP_CANDIDATE,0.25,mm,P,patent_range,true,P010,US12137540B2 local PDF p.20 printed col.5 lines47-55,midpoint of preferred embodiment,P1_GEOMETRY_FLUID,false,false,0.2-1.0 mm broad; 0.2-0.3 mm preferred
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P012,CENTRAL_ANCHOR_WIDTH_CANDIDATE,2.25,mm,P,patent_range,true,P012,US12137540B2 local PDF p.21 printed col.7 lines17-23,midpoint of preferred embodiment,P1_GEOMETRY_ONLY_UNTIL_P2,false,false,0.5-4 mm broad; 2-2.5 mm preferred
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P013,TOP_VENT_WIDTH_PATENT_CANDIDATE,0.75,mm,P,patent_range,true,P013,US12137540B2 local PDF p.20 printed col.6 lines49-56,midpoint of preferred embodiment,P1_GEOMETRY_CANDIDATE,false,false,0.25-2.0 mm broad; 0.5-1.0 mm preferred
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C004,INTAKE_GEOMETRY_DATASET,candidate_v1_dual_view_homography,-,I,image_inference,true,C004,AirJet Mini Data Sheet page 1 two product renders,official_image_measurements.csv plus gen1_vent_homography_results.csv,DUAL_VIEW_I_CLASS_CANDIDATE,false,false,corner +/-3 px and endpoint +/-2 px propagated by 10000-sample Monte Carlo; cross-view center shift reaches about 2.6 mm; marketing-render model error remains unknown
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C005,EXHAUST_MANIFOLD_GEOMETRY,TBD,-,I,image_inference,true,C005,AirJet Mini official flow diagram,official-image coordinate extraction,U_TO_C_BRANCH_REQUIRED,false,false,pixel measurement uncertainty required
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C007,ACTUATOR_LAYER_STACK,TBD,-,U,unknown,true,C007,patent material candidates,retain material stack alternatives,NO_MATERIAL_ASSIGNMENT_P1,true,false,not identifiable from public Mini evidence
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C009,HEAT_SPREADER_THICKNESS_CANDIDATE,0.80,mm,C,cad_placeholder,true,C009,official cross-section only proves a spreader exists; value is a P1 candidate,P1 thickness closure only,P1_GEOMETRY_NO_MATERIAL_NO_MASS,false,false,0.30-0.90 mm exploratory P1 range; no mass constraint claimed until material density effective area and remaining-part mass are modeled
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C013,ACTIVE_AREA_FRACTION_IMAGE_TARGET,TBD,percent,I,image_inference,true,C013,AirJet Mini official views,official-image coordinate extraction,I_CLASS_PENDING,false,false,pixel measurement uncertainty required
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C014,DRAWN_VENT_OBJECT_COUNT_NOT_GROUP_COUNT,4_drawn_vent_objects_not_confirmed_groups,count,I,image_inference,true,C014,AirJet Mini Data Sheet page 1 two product renders,dual-view object extraction and topology comparison,DRAWN_OBJECTS_ONLY,false,false,both official render objects draw four elongated vents but production group count is unverified
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C015,TOP_COVER_THICKNESS_CANDIDATE,0.25,mm,C,cad_placeholder,true,C015,official data sheet fixes total thickness only,P1 total-thickness closure,P1_GEOMETRY_NO_MATERIAL_NO_MASS,false,false,0.10-0.40 mm exploratory range; no direct layer measurement
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C016,ORIFICE_PLATE_THICKNESS_CANDIDATE,0.10,mm,C,cad_placeholder,true,C016,patent supports an orifice structure but no locked Mini plate thickness,P1 total-thickness closure and robust Boolean requirement,P1_GEOMETRY_NO_MATERIAL_NO_MASS,false,false,0.05-0.20 mm exploratory range; no direct Mini value
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C017,INTERNAL_SUPPORT_ALLOWANCE_REF,0.10,mm,C,cad_placeholder,true,C017,component existence is architectural; aggregate thickness is unresolved,P1 total-thickness closure,GEOMETRY_ONLY_NO_MATERIAL_NO_MASS_NO_STRUCTURAL_NO_CHT,true,false,0.05-0.25 mm exploratory geometry allowance for unresolved bond electrode and support solids
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C018,BOTTOM_CHAMBER_HEIGHT_DERIVED,0.04,mm,C,derived_candidate,false,C018,US12137540B2 candidate relationships via P004 and P006,h_bottom=A_tip+bottom_clearance_above_amplitude using P004 and P006,P1_GEOMETRY_FLUID,false,false,0.015-0.070 mm from 10-60 um displacement plus 5-10 um clearance
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C019,UNRESOLVED_STACK_RESIDUAL_TOTAL,0.735,mm,U,derived_unresolved,false,C019,total 2.8 mm is direct but internal layer partition is not,D003-(C015+P005+P002+C018+C016+P010+C009+C017),GEOMETRY_ONLY_NO_MATERIAL_NO_MASS_NO_STRUCTURAL_NO_CHT,true,false,recomputed as exact closure residual; physical decomposition and location unknown
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C001,N_CELL,12,count,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,C001,product image plus envelope constraints,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C002,N_ROW,4,count,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,C002,product image plus envelope constraints,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C003,N_COLUMN,3,count,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,C003,product image plus envelope constraints,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P001,MEMBRANE_EFFECTIVE_LENGTH_SELECTED,7.0,mm,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,P001,US12137540B2 local PDF p.19 printed col.4 lines1-6 and p.21 col.7 lines43-49,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,P014,CELL_WALL_CLEARANCE_SELECTED,0.25,mm,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,P014,US12137540B2 local PDF p.21 printed col.7 lines61-65 and following continuation,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,LAYOUT_SPAN_X,ARRAY_SPAN_X,21.50,mm,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,p1_layout_configuration_matrix,p1_layout_configuration_matrix.csv:M-3x4-7.0,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,LAYOUT_SPAN_Y,ARRAY_SPAN_Y,28.75,mm,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,p1_layout_configuration_matrix,p1_layout_configuration_matrix.csv:M-3x4-7.0,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,LAYOUT_MARGIN_X,ARRAY_MARGIN_X,4.00,mm,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,p1_layout_configuration_matrix,p1_layout_configuration_matrix.csv:M-3x4-7.0,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,LAYOUT_MARGIN_Y,ARRAY_MARGIN_Y,7.75,mm,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,p1_layout_configuration_matrix,p1_layout_configuration_matrix.csv:M-3x4-7.0,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,LAYOUT_ACTIVE_AREA_PROXY,ACTIVE_MEMBRANE_AREA_PROXY,588.000,mm2,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,p1_layout_configuration_matrix,p1_layout_configuration_matrix.csv:M-3x4-7.0,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,LAYOUT_HOLE_COUNT_PROXY,POROSITY_HOLE_COUNT_PROXY,1198,count,C,FROZEN_P1_WORK_CONFIGURATION_NOT_PRODUCT_FACT,false,p1_layout_configuration_matrix,p1_layout_configuration_matrix.csv:M-3x4-7.0,selected configuration M-3x4-7.0 within P0 candidate envelope,P1_GEOMETRY_CONFIGURATION,false,false,configuration selection; source patent/image classes do not make this production geometry
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C020,RESIDUAL_TOP_FRACTION_BRANCH,0.500000,fraction,C,MODEL_FORM_BRANCH_GEOMETRY_ONLY,false,C019;C020,full_product_parameter_registry.csv and p1_model_form_variants.csv,C020 branch selection,GEOMETRY_ONLY_NO_MATERIAL_NO_MASS_NO_STRUCTURAL_NO_CHT,true,false,bookkeeping reference; not an identified physical layer
M-3x4-7.0,M-3x4-7.0__R50_BALANCED,C019_TOP,RESIDUAL_TOP_THICKNESS_REF,0.367500,mm,U,MODEL_FORM_BRANCH_GEOMETRY_ONLY,false,C019;C020,full_product_parameter_registry.csv and p1_model_form_variants.csv,C019*C020,GEOMETRY_ONLY_NO_MATERIAL_NO_MASS_NO_STRUCTURAL_NO_CHT,true,false,bookkeeping reference; not an identified physical layer
