selection_id,owner_feature_id,entity_type,selection_role,solver_target,evidence_class,product_fact_scope,expected_cardinality,expansion_rule,normal_direction_rule,area_or_count_check,boundary_condition_status,branch_id,export_to_solver,stable_rebuild_rule,status,notes
NS_PERIM_FROM_TOP__CELL_{NNN},PERIMETER_GAP_FLUID_CAND_TEMPLATE,FACE,PERIMETER_FROM_TOP_PLENUM,P1_P3_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,FROM_TOP_PLENUM,AREA_MATCHES_PAIRED_TOP_FACE,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_MEMBRANE_TOP__CELL_{NNN},MEMBRANE_CAND_TEMPLATE,FACE,MOVING_WALL_TOP,P2_P3,P,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_TOP_CHAMBER,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_TOP_PLENUM_MEMBRANE_WALL__CELL_{NNN},TOP_CHAMBER_FLUID_CAND_TEMPLATE,FACE,TOP_PLENUM_MEMBRANE_WALL,P2_P3,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_MEMBRANE,AREA_MATCHES_MEMBRANE_TOP,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_MEMBRANE_BOTTOM__CELL_{NNN},MEMBRANE_CAND_TEMPLATE,FACE,MOVING_WALL_BOTTOM,P2_P3,P,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_BOTTOM_CHAMBER,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_BOTTOM_CHAMBER_MEMBRANE_WALL__CELL_{NNN},BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,FACE,BOTTOM_CHAMBER_MEMBRANE_WALL,P2_P3,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_MEMBRANE,AREA_MATCHES_MEMBRANE_BOTTOM,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_PERIM_TO_BOTTOM__CELL_{NNN},PERIMETER_GAP_FLUID_CAND_TEMPLATE,FACE,PERIM_TO_BOTTOM_TRANSFER,P1_P3_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_BOTTOM_CHAMBER,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_BOTTOM_FROM_PERIM__CELL_{NNN},BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,FACE,BOTTOM_FROM_PERIM_TRANSFER,P1_P3_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,FROM_PERIMETER_GAP,AREA_MATCHES_PAIRED_PERIM_FACE,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_BOTTOM_TO_ORIFICE__CELL_{NNN},BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,FACE_SET,BOTTOM_TO_ORIFICE,P1_P3_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_ORIFICE_THROATS,FACE_COUNT_EQUALS_ACTUAL_HOLE_COUNT,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_ORIFICE_FROM_BOTTOM__CELL_{NNN},ORIFICE_FLUID_SET_CAND_TEMPLATE,FACE_SET,ORIFICE_FROM_BOTTOM,P1_P3_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,FROM_BOTTOM_CHAMBER,FACE_COUNT_EQUALS_ACTUAL_HOLE_COUNT,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_ORIFICE_EXIT__CELL_{NNN},ORIFICE_FLUID_SET_CAND_TEMPLATE,FACE_SET,ORIFICE_EXITS,P1_P3_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,TOWARD_IMPINGEMENT_CHANNEL,FACE_COUNT_EQUALS_ACTUAL_HOLE_COUNT,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_IMPINGEMENT_FROM_ORIFICE__CELL_{NNN},IMPINGEMENT_CHANNEL_FLUID_CAND,FACE_SET,IMPINGEMENT_FROM_ORIFICES,P1_P4,C,NONE,N_CELL,EXPAND_NNN_001_TO_N_CELL,FROM_ORIFICE_THROATS,FACE_COUNT_EQUALS_ACTUAL_HOLE_COUNT,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_IMPINGEMENT_TO_MANIFOLD_CAND,IMPINGEMENT_CHANNEL_FLUID_CAND,FACE_OR_INTERFACE_SET,IMPACT_TO_MANIFOLD,P1_P4,C,QUALITATIVE_TOPOLOGY_ONLY,1,LITERAL_SELECTION_ID,TOWARD_MANIFOLD,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_MANIFOLD_FROM_IMPINGEMENT_CAND,EXHAUST_MANIFOLD_FLUID_CAND,FACE_OR_INTERFACE_SET,MANIFOLD_FROM_IMPINGEMENT,P1_P4,C,QUALITATIVE_TOPOLOGY_ONLY,1,LITERAL_SELECTION_ID,FROM_IMPINGEMENT_CHANNEL,AREA_MATCHES_PAIRED_IMPINGEMENT_FACE,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_MANIFOLD_TO_SPOUT_CAND,EXHAUST_MANIFOLD_FLUID_CAND,FACE,MANIFOLD_TO_SPOUT,P1_P4,C,QUALITATIVE_TOPOLOGY_ONLY,1,LITERAL_SELECTION_ID,TOWARD_SPOUT,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_SPOUT_FROM_MANIFOLD_CAND,SPOUT_FLUID_CAND,FACE,SPOUT_FROM_MANIFOLD,P1_P4,C,QUALITATIVE_TOPOLOGY_ONLY,1,LITERAL_SELECTION_ID,FROM_MANIFOLD,AREA_MATCHES_PAIRED_MANIFOLD_FACE,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_PRODUCT_OUTLET_CAND,SPOUT_FLUID_CAND,FACE,PRODUCT_OUTLET,P1_P4,C,QUALITATIVE_TOPOLOGY_ONLY,1,LITERAL_SELECTION_ID,OUTWARD_FROM_PRODUCT,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_EXTERNAL_FROM_PRODUCT_C,EXTERNAL_OUTLET_DOMAIN_C,FACE,EXTERNAL_FROM_PRODUCT,P4_FLUENT,C,NONE,1,LITERAL_SELECTION_ID,FROM_PRODUCT,AREA_MATCHES_PRODUCT_OUTLET,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_EXTERNAL_OUTLET_C,EXTERNAL_OUTLET_DOMAIN_C,FACE,EXTERNAL_OUTLET,P4_FLUENT,C,NONE,1,LITERAL_SELECTION_ID,OUTWARD_FROM_DOMAIN,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_IMPINGEMENT_HEAT_WALL_FLUID_CAND,IMPINGEMENT_CHANNEL_FLUID_CAND,FACE,IMPACT_AND_HEAT_TRANSFER_WALL_FLUID_SIDE,P1_P4_P5,C,NONE,1,LITERAL_SELECTION_ID,TOWARD_HEAT_SPREADER,COVERS_ALL_ACTIVE_ORIFICES,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_HEAT_SPREADER_FLUID_FACE_CAND,HEAT_SPREADER_CAND,FACE,HEAT_SPREADER_FLUID_SIDE,P1_P5,C,EXISTENCE_ONLY,1,LITERAL_SELECTION_ID,TOWARD_FLUID,AREA_MATCHES_IMPINGEMENT_HEAT_WALL,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_SPREADER_TO_TIM_CAND,HEAT_SPREADER_CAND,FACE,SPREADER_TO_TIM,P5,C,EXISTENCE_ONLY,1,LITERAL_SELECTION_ID,TOWARD_HOST_CHIP,AREA_GT_ZERO,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_TIM_TO_SPREADER_CAND,TIM_EQUIVALENT_C,FACE,TIM_TO_SPREADER,P5,C,NONE,1,LITERAL_SELECTION_ID,TOWARD_HEAT_SPREADER,AREA_MATCHES_SPREADER_TO_TIM,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_SIDE_FRAME_WALL_PROXY_U,ROOT_PRODUCT,FACE_SET,FLUID_WALL_PROXY_ON_DECLARED_FLUID_BODIES,P1_P4,C,NONE,BRANCH_DEFINED,LITERAL_SELECTION_ID,OUTWARD_FROM_FLUID,CLOSED_WALL_EXCEPT_DECLARED_VENTS_AND_OUTLET,UNASSIGNED_P1,ALL_P1_VARIANTS,true,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_FLEX_KEEP_OUT_REF_U,FLEX_KEEP_OUT_U,REFERENCE,KEEP_OUT,CAD_ONLY,U,NONE,1,LITERAL_SELECTION_ID,NOT_APPLICABLE,NO_SOLVER_EXPORT,UNASSIGNED_P1,ALL_P1_VARIANTS,false,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_RESIDUAL_TOP_REF_U,C019_TOP_REF,REFERENCE,STACK_BOOKKEEPING,CAD_ONLY,U,NONE,1,LITERAL_SELECTION_ID,NOT_APPLICABLE,NO_SOLVER_EXPORT,UNASSIGNED_P1,ALL_P1_VARIANTS,false,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_RESIDUAL_BOTTOM_REF_U,C019_BOTTOM_REF,REFERENCE,STACK_BOOKKEEPING,CAD_ONLY,U,NONE,1,LITERAL_SELECTION_ID,NOT_APPLICABLE,NO_SOLVER_EXPORT,UNASSIGNED_P1,ALL_P1_VARIANTS,false,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
NS_FLUID_CLOSURE_DATUM_C,FLUID_DOMAIN_CLOSURE_DATUM_C,REFERENCE_SET,NUMERICAL_FLUID_CLOSURE,CAD_ONLY,C,NONE,THICKNESS_BUDGET_BOUNDARIES,LITERAL_SELECTION_ID,NOT_APPLICABLE,NO_SOLVER_EXPORT,UNASSIGNED_P1,ALL_P1_VARIANTS,false,REBUILD_FROM_FEATURE_ID_AND_CONFIGURATION_NOT_FACE_INDEX,NOT_BUILT,candidate naming contract; transfer to Workbench must be verified
