feature_id,configuration_id,cad_name,entity_kind,parent_feature_id,quantity_rule,existence_class,topology_class,geometry_class,selection_class,parameter_refs,source_locator,uncertainty_ref,product_fact_scope,product_fact,cad_role,solver_use,material_policy,mass_policy,boolean_policy,export_policy,alternative_group,branch_id,promotion_gate,status,notes
MEMBRANE_CAND_TEMPLATE,ALL_CONFIGURATIONS,MEMBRANE_CAND__CELL_{NNN},SOLID_CANDIDATE,ROOT_PRODUCT,N_CELL_FROM_CONFIGURATION,I,P,P,C,P001;P002;C001;C007,official mechanism drawing plus US12137540B2 embodiments,parameter registry or p1_cad_open_questions.csv,QUALITATIVE_TOPOLOGY_ONLY,false,actuator geometry placeholder,GEOMETRY_ONLY_UNTIL_SIZE_SPECIFIC_P2_BRANCH,PROHIBITED,EXCLUDE,PATTERN_FROM_CONFIGURATION,NATIVE_GEOMETRY_ONLY,ACTUATOR_STACK_BRANCH,SIZE_SPECIFIC_P2_REQUIRED,P2_ENTRY,NOT_BUILT,P002 is an 8 mm cross-size P1 placeholder; no P1 material
CENTRAL_ANCHOR_CAND_TEMPLATE,ALL_CONFIGURATIONS,CENTRAL_ANCHOR_DATUM_C__CELL_{NNN},CONSTRUCTION_BODY,ROOT_PRODUCT,N_CELL_FROM_CONFIGURATION,P,P,C,C,P002;P012,US12137540B2 central-anchor embodiment plus CENTRAL_ANCHOR_SQUARE_DATUM_R0,parameter registry or p1_cad_open_questions.csv,NONE,false,anchor geometry placeholder,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,NO_BOOLEAN_COINCIDENT_PLACEHOLDER,DO_NOT_EXPORT_AS_PHYSICAL_SOLID,ANCHOR_ALTERNATIVES,CENTRAL_ANCHOR_SQUARE_DATUM_R0,P2_ENTRY,NOT_BUILT,existence/topology and P012 prior are patent-supported; exact square datum geometry is a C-class R0 choice and does not cut or fuse the membrane
ORIFICE_PLATE_CAND,ALL_CONFIGURATIONS,ORIFICE_PLATE_CAND,SOLID_CANDIDATE,ROOT_PRODUCT,1,P,P,C,C,C016;P007;P008;P009,US12137540B2 orifice embodiments and candidate thickness,parameter registry or p1_cad_open_questions.csv,EXISTENCE_ONLY,false,candidate orifice plate,P1_CFD_WALL_PROXY,UNASSIGNED,EXCLUDE,CUT_BY_ORIFICE_PATTERN_CANDIDATE,NATIVE_AND_STEP,ORIFICE_PATTERN_BRANCH,SEE_ORIFICE_TABLE,P1_G4_ORIFICE_CLOSURE,NOT_BUILT,separation s meaning and production hole count remain unresolved
C017_SUPPORT_ALLOWANCE_REF,ALL_CONFIGURATIONS,C017_SUPPORT_ALLOWANCE_REF,CONSTRUCTION_BODY,ROOT_PRODUCT,1,U,U,C,C,C017,registry geometric bookkeeping only,parameter registry or p1_cad_open_questions.csv,NONE,false,thickness bookkeeping,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,NO_BOOLEAN,DO_NOT_EXPORT,STACK_RESIDUAL_BRANCH,C017,P1_G3_THICKNESS,NOT_BUILT,must not become a physical solid
C019_TOP_REF,ALL_CONFIGURATIONS,C019_TOP_REF_U,CONSTRUCTION_BODY,ROOT_PRODUCT,1,U,U,U,C,C019;C020,derived unresolved stack split,parameter registry or p1_cad_open_questions.csv,NONE,false,thickness bookkeeping,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,NO_BOOLEAN,DO_NOT_EXPORT,STACK_RESIDUAL_BRANCH,C019_TOP,P1_G3_THICKNESS,NOT_BUILT,not an identified layer or location
C019_BOTTOM_REF,ALL_CONFIGURATIONS,C019_BOTTOM_REF_U,CONSTRUCTION_BODY,ROOT_PRODUCT,1,U,U,U,C,C019;C020,derived unresolved stack split,parameter registry or p1_cad_open_questions.csv,NONE,false,thickness bookkeeping,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,NO_BOOLEAN,DO_NOT_EXPORT,STACK_RESIDUAL_BRANCH,C019_BOTTOM,P1_G3_THICKNESS,NOT_BUILT,not an identified layer or location
FLUID_DOMAIN_CLOSURE_DATUM_C,ALL_CONFIGURATIONS,FLUID_DOMAIN_CLOSURE_DATUM_C,CONSTRUCTION_BODY,ROOT_PRODUCT,THICKNESS_BUDGET_Z_DATUM_SET,C,C,C,C,C017;C019;C020,p1_internal_geometry_rules.csv RESIDUAL_NUMERICAL_CLOSURE_R0,parameter registry or p1_cad_open_questions.csv,NONE,false,nonphysical fluid extraction closure datum,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,FLUID_BOUNDARY_DATUM_ONLY_NO_PRODUCT_BOOLEAN,DO_NOT_EXPORT,NUMERICAL_CLOSURE,RESIDUAL_NUMERICAL_CLOSURE_R0,P1_G2_CONNECTIVITY,NOT_BUILT,construct only declared fluid bodies; residual intervals are neither fluid nor identified solids
HEAT_SPREADER_CAND,ALL_CONFIGURATIONS,HEAT_SPREADER_CAND,SOLID_CANDIDATE,ROOT_PRODUCT,1,I,I,C,C,C009;C010,official cross-section supports qualitative heat-spreader existence,parameter registry or p1_cad_open_questions.csv,EXISTENCE_ONLY,false,candidate heat-spreading wall,P1_CFD_WALL_PROXY,UNASSIGNED,EXCLUDE,BASE_SOLID_CANDIDATE,NATIVE_AND_STEP,SPREADER_BRANCH,C009_R0,P1_GEOMETRY_REVIEW,NOT_BUILT,"material, conductivity, and mass are not identified in P1"
SPOUT_SOLID_CAND_U,ALL_CONFIGURATIONS,SPOUT_SOLID_CAND_U,CONSTRUCTION_BODY,ROOT_PRODUCT,1,I,I,C,C,C005;P010,official qualitative topology plus p1_planform_exhaust_candidates.csv,parameter registry or p1_cad_open_questions.csv,QUALITATIVE_TOPOLOGY_ONLY,false,candidate spout boundary construction,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,WALL_PROXY_ONLY,DO_NOT_EXPORT_AS_IDENTIFIED_PART,EXHAUST_BRANCH,SEE_PLANFORM_EXHAUST_TABLE,P1_TOPOLOGY_REVIEW,NOT_BUILT,R0 CAD branch is explicit C geometry; production cross-section and wall thickness remain U
EXTERNAL_INLET_DOMAIN_C,ALL_CONFIGURATIONS,EXTERNAL_INLET_DOMAIN_C,FLUID,ROOT_PRODUCT,1,C,C,C,C,NONE,numerical-domain choice,parameter registry or p1_cad_open_questions.csv,NONE,false,optional external CFD domain,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,VOLUME_EXTRACT,NATIVE_AND_STEP,EXTERNAL_DOMAIN,P1_OPTIONAL,P4_ENTRY,NOT_BUILT,not a product component
TOP_CHAMBER_FLUID_CAND_TEMPLATE,ALL_CONFIGURATIONS,TOP_CHAMBER_FLUID_CAND_SHARED_R0,FLUID,ROOT_PRODUCT,1_SHARED_R0,P,C,C,C,P005;C001;C004;C014,US12137540B2 chamber embodiments plus TOP_SHARED_PLENUM_R0,parameter registry or p1_cad_open_questions.csv,NONE,false,candidate shared intake plenum fluid,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,DIRECT_BUILD_AND_VOLUME_CHECK,NATIVE_AND_STEP,SHARED_VS_CELLULAR,TOP_SHARED_PLENUM_R0,P1_G2_CONNECTIVITY,NOT_BUILT,R0 selects shared C branch; grouped/cellular production topology remains open
PERIMETER_GAP_FLUID_CAND_TEMPLATE,ALL_CONFIGURATIONS,PERIMETER_GAP_FLUID_CAND__CELL_{NNN},FLUID,ROOT_PRODUCT,N_CELL_FROM_CONFIGURATION,P,P,C,C,P001;P014;P002;P005;C018,patent-compatible path plus PERIM_SPLIT_GAP_R0,parameter registry or p1_cad_open_questions.csv,NONE,false,candidate transfer fluid,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,DIRECT_BUILD_AND_UNION,NATIVE_AND_STEP,TRANSFER_GAP_BRANCH,PERIM_SPLIT_GAP_R0,P1_G2_CONNECTIVITY,NOT_BUILT,R0 exact ring is C; production cross-section remains unresolved
BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,ALL_CONFIGURATIONS,BOTTOM_CHAMBER_FLUID_CAND__CELL_{NNN},FLUID,ROOT_PRODUCT,N_CELL_FROM_CONFIGURATION,P,P,C,C,P001;C018;P004;P006,derived from patent displacement and clearance relationship plus BOTTOM_CHAMBER_PER_CELL_SQUARE_R0,parameter registry or p1_cad_open_questions.csv,NONE,false,candidate bottom chamber fluid,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,DIRECT_BUILD_AND_UNION,NATIVE_AND_STEP,BOTTOM_CHAMBER_BRANCH,BOTTOM_CHAMBER_PER_CELL_SQUARE_R0,P1_G2_CONNECTIVITY,NOT_BUILT,R0 planform is the centered P001 square; Z max is the membrane bottom and Z min is C018 below it; union only through declared perimeter-gap and orifice interfaces
ORIFICE_FLUID_SET_CAND_TEMPLATE,ALL_CONFIGURATIONS,ORIFICE_FLUID_SET_CAND__CELL_{NNN},FLUID,ROOT_PRODUCT,N_CELL_PATTERN_FROM_ORIFICE_TABLE,P,P,C,C,P007;P008;P009,US12137540B2 orifice candidates,parameter registry or p1_cad_open_questions.csv,NONE,false,candidate orifice throat fluid,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,VOLUME_EXTRACT_AFTER_BOOLEAN,NATIVE_AND_STEP,ORIFICE_PATTERN_BRANCH,SEE_ORIFICE_TABLE,P1_G4_ORIFICE_CLOSURE,NOT_BUILT,every throat must be recounted and connected after Boolean
IMPINGEMENT_CHANNEL_FLUID_CAND,ALL_CONFIGURATIONS,IMPINGEMENT_CHANNEL_FLUID_CAND,FLUID,ROOT_PRODUCT,1,P,P,P,C,P010,patent gap candidate plus official qualitative flow path,parameter registry or p1_cad_open_questions.csv,QUALITATIVE_TOPOLOGY_ONLY,false,candidate full-product impingement channel,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,VOLUME_EXTRACT,NATIVE_AND_STEP,IMPINGEMENT_BRANCH,P010_R0,P1_G2_CONNECTIVITY,NOT_BUILT,planform extent is C and must cover all candidate orifices
EXHAUST_MANIFOLD_FLUID_CAND,ALL_CONFIGURATIONS,EXHAUST_MANIFOLD_FLUID_CAND_U,FLUID,ROOT_PRODUCT,1,I,C,C,C,C005;P010,official qualitative direction plus p1_planform_exhaust_candidates.csv,parameter registry or p1_cad_open_questions.csv,QUALITATIVE_TOPOLOGY_ONLY,false,candidate exhaust collection fluid,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,VOLUME_EXTRACT,NATIVE_AND_STEP,EXHAUST_BRANCH,SEE_PLANFORM_EXHAUST_TABLE,P1_G2_CONNECTIVITY,NOT_BUILT,two explicit C branches retain unresolved production 3D geometry
SPOUT_FLUID_CAND,ALL_CONFIGURATIONS,SPOUT_FLUID_CAND_U,FLUID,ROOT_PRODUCT,1,I,I,C,C,C005;P010,AirJet Mini qualitative single-side spout plus p1_planform_exhaust_candidates.csv,parameter registry or p1_cad_open_questions.csv,QUALITATIVE_TOPOLOGY_ONLY,false,candidate product outlet fluid,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,VOLUME_EXTRACT,NATIVE_AND_STEP,EXHAUST_BRANCH,SEE_PLANFORM_EXHAUST_TABLE,P1_G2_CONNECTIVITY,NOT_BUILT,R0 outlet face is explicit C geometry; production dimensions remain unresolved
EXTERNAL_OUTLET_DOMAIN_C,ALL_CONFIGURATIONS,EXTERNAL_OUTLET_DOMAIN_C,FLUID,ROOT_PRODUCT,1,C,C,C,C,NONE,numerical-domain choice,parameter registry or p1_cad_open_questions.csv,NONE,false,optional outlet CFD domain,P1_CFD_FLUID_CANDIDATE,NOT_APPLICABLE,NOT_APPLICABLE,VOLUME_EXTRACT,NATIVE_AND_STEP,EXTERNAL_DOMAIN,P1_OPTIONAL,P4_ENTRY,NOT_BUILT,not a product component
TIM_EQUIVALENT_C,ALL_CONFIGURATIONS,TIM_EQUIVALENT_C,CONSTRUCTION_BODY,ROOT_PRODUCT,1,C,C,C,C,C011,"target system integration, not Mini internal evidence",parameter registry or p1_cad_open_questions.csv,NONE,false,future P5 boundary,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,NO_BOOLEAN_P1,DO_NOT_EXPORT_P1,THERMAL_STACK,P5_ONLY,P5_ENTRY,NOT_BUILT,not an identified AirJet internal layer
CHIP_HEAT_SOURCE_C,ALL_CONFIGURATIONS,CHIP_HEAT_SOURCE_C,CONSTRUCTION_BODY,ROOT_PRODUCT,1,C,C,C,C,D006,future system boundary for net chip heat,parameter registry or p1_cad_open_questions.csv,NONE,false,future P5 boundary,GEOMETRY_ONLY_NO_PHYSICS,PROHIBITED,EXCLUDE,NO_BOOLEAN_P1,DO_NOT_EXPORT_P1,THERMAL_STACK,P5_ONLY,P5_ENTRY,NOT_BUILT,keep separate from AirJet self heat
